Name,NT,Full Time Phd,FRU,Annual_Expenditure_per_Student,Operational_Expenditure_per_Student,Annual_Expenditure_2019,Annual_Expenditure_2018,Annual_Expenditure_2017,Operational_Expenditure_2019,Operational_Expenditure_2018,Operational_Expenditure_2017
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM) Jabalpur",1464,149,13.01,62995.72411655301,266245.2672039678,33473890.0,52386889.0,15751324.0,155380408.0,137578259.0,136494949.0
Indian Institute of Food Processing Technology (IIFPT),331,51,19.18,291711.2382198953,930131.1780104712,72346693.0,32623000.0,6464000.0,138749110.0,125121000.0,91440000.0
"Veermata Jijabai Technological Institute,  (VJTI, Mumbai)",2944,135,11.61,79270.12666450145,452117.01299123093,100839508.0,73486106.0,69747106.0,529201399.0,481971231.0,380895653.0
PES University,5808,32,10.8,24110.378253424657,177289.50256849316,53729256.0,46238778.0,40836575.0,395605655.0,341411747.0,298353293.0
Manipal University Jaipur,5114,46,9.49,19466.333914728682,201827.68720930233,44625304.0,29747812.0,26073167.0,379124533.0,350354727.0,311951606.0
National Institute of Technology Goa,680,71,14.13,100788.03728362183,413794.9600532623,38914168.0,15046835.0,21730813.0,114048451.0,106793697.0,89917867.0
"National Institute of Technology, Jamshedpur",3218,180,13.49,27832.231606827547,545377.4529134785,53403270.0,28731405.0,12439248.0,596172024.0,581518926.0,675501635.0
Indian Institute of Information Technology Allahabad,1794,207,13.33,136417.79110444777,341231.6646676662,35639000.0,32897000.0,204436000.0,217899509.0,201633483.0,263271569.0
Netaji Subhas University of Technology (NSUT),4505,204,9.2,28033.214270545763,247358.60479932046,45871422.0,46584966.0,39552018.0,470868670.0,354616000.0,339327000.0
Panjab University,4510,185,5.61,31180.53887113951,211700.57657082003,81982663.0,60207436.0,4202531.0,364171629.0,337311795.0,292450783.0
Kumaraguru College of Technology,5568,20,7.85,50431.889047959914,203474.12365783824,72188930.0,124829436.0,84795030.0,379055860.0,381377759.0,376579784.0
University of Petroleum and Energy Studies,7245,23,12.93,26195.718629609248,397421.91469455144,97182845.0,65815684.0,27391954.0,1124828339.0,919047505.0,844586632.0
National Institute of Technology Agartala,3980,134,11.84,54380.42124453087,255889.64511424405,171803053.0,28146000.0,23772000.0,354718000.0,318115000.0,379897000.0
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,9468,33,6.35,15935.808335964635,146605.73234396378,54389425.0,16447589.0,80569101.0,498126429.0,464164069.0,430610565.0
Jaypee Institute of Information Technology,5550,151,8.69,29569.10945448167,276250.13716891775,68853387.0,69674655.0,30045451.0,595770768.0,517519724.0,461611540.0
College of Engineering Trivandrum,3351,89,9.78,31525.754360465115,496610.44040697673,29788377.0,41301983.0,37358235.0,575710311.0,533257358.0,599372246.0
Bharati Vidyapeeth Deemed University College of Engineering,3438,158,6.95,23877.708843159067,184148.37708565072,31964000.0,31126241.0,22774000.0,245451000.0,215476564.0,201270000.0
The Northcap University,1762,46,11.37,37645.243915929204,445132.69303097343,16732257.0,20495813.0,30834531.0,262700298.0,245336688.0,296762923.0
B.M.S. College of Engineering,5712,73,10.34,30355.256352636126,350203.88902333623,83221571.0,50177351.0,42206236.0,732517422.0,676949893.0,616462183.0
National Institute of Technology Hamirpur,3559,192,9.88,27385.372434017594,294661.57291388966,45430889.0,26561397.0,30730246.0,404628744.0,303953257.0,396693559.0
"C.V. Raman Global University, Odisha",4913,12,9.85,30138.938274111675,151117.46050761422,52148395.0,40240291.0,56045585.0,258949034.0,251800225.0,233504234.0
Siddaganga Institute of Technology,3930,35,7.91,15495.566960907945,275336.8075662043,19090950.0,18367494.0,23981479.0,363264571.0,373623352.0,354822519.0
Coimbatore Institute of Technology,3182,62,8.16,19307.483970406905,347369.0878545006,20274478.0,20611000.0,21748000.0,403208321.0,366455000.0,357202000.0
Shoolini University of Biotechnology and Management Sciences,1025,65,5.81,21733.02752293578,129218.3486238532,6472000.0,6011000.0,11206000.0,53209000.0,48837000.0,38802000.0
Tezpur University,1657,139,9.13,20143.216592427616,257460.24220489978,10410945.0,11993863.0,13772409.0,153991896.0,192236589.0,116170110.0
Karunya Institute of Technology and Sciences,6538,57,0.07,27478.48779378317,202704.3572403336,39688089.0,48922510.0,92610028.0,443809669.0,469479285.0,423546282.0
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,908,44,13.79,75326.33508403362,504050.6712184874,24925943.0,28674262.0,18110466.0,173761122.0,157315269.0,148779848.0
Dhirubhai Ambani Institute of Information and Communication Technology,1804,50,9.76,29433.06796116505,245323.88781014024,7564611.0,30110953.0,16893344.0,166439148.0,158617574.0,129773766.0
Guru Gobind Singh Indraprastha University,1058,33,6.47,26569.46012832264,265328.5307057745,14311631.0,7340259.0,7335391.0,94935031.0,110964209.0,83574187.0
Sri Sairam Engineering College,5112,36,6.13,12362.535742035741,197332.85625485625,25915415.0,22132030.0,15594889.0,338141960.0,331836662.0,345890922.0
Rajalakshmi Engineering College,7260,61,7.74,23238.43627919683,181282.32495560715,65939063.0,58084899.0,46104630.0,510297095.0,446350215.0,370520591.0
"Vignan's Foundation for Science, Technology and Research",7686,144,5.79,23407.641251596426,140594.1888888889,40191819.0,40680692.0,102409320.0,361488439.0,384153876.0,355210184.0
B. S. Abdur Rahman Crescent Institute of Science and Technology,3972,30,9.12,56760.499500249876,302691.4330334833,38398357.0,98295445.0,90461717.0,453936427.0,384676951.0,372757737.0
Chitkara University,5523,99,8.75,10818.879580220562,207811.9089292067,35743315.0,17821127.0,7259299.0,564451700.0,347268630.0,256598222.0
National Institute of Technology Manipur,870,100,10.56,145827.5649484536,434465.19278350513,70070844.0,56569366.0,14812528.0,202205996.0,131128290.0,88096951.0
National Institute of Foundry and Forge Technology (NIFFT),731,13,15.78,71262.59677419355,525641.8172043011,24674217.0,14588847.0,13756308.0,146059959.0,118279197.0,126738356.0
Veer Surendra Sai University of Technology,4860,392,9.16,72296.78027418126,351294.7448591013,203000000.0,103530537.0,73172153.0,765000000.0,567000000.0,513000000.0
Maharaja Sayajirao University of Baroda,3830,191,6.93,19551.442178562545,264312.5652822681,25133972.0,25152000.0,28330377.0,368765698.0,362728127.0,331307000.0
Manav Rachna International Institute of Research & Studies,2487,44,8.72,23531.21691031213,301443.72817068355,16827281.0,12878704.0,29851525.0,264540515.0,259628742.0,238784819.0
Shri Ramdeobaba College of Engineering and Management,3492,6,8.35,24471.983419096625,333466.90194396797,51430957.0,14177909.0,19994132.0,423773582.0,374304380.0,368389261.0
Punjab Technical University,1258,0,22.37,95037.87917329094,1318098.4737678855,32902221.0,29213329.0,57442102.0,823893183.0,441737252.0,392537445.0
Saveetha Institute of Medical and Technical Sciences,5340,43,7.9,47260.875719858814,140174.4211406279,78912406.0,100829460.0,74663428.0,298773228.0,261928361.0,193857320.0
Vishwakarma Institute of Technology,4267,62,8.56,53192.3136983137,279929.4127974128,95332770.0,84057818.0,50878938.0,402549092.0,408102318.0,401163018.0
University College of Engingeering,2372,23,7.8,91350.90438413361,295308.88392484345,20886491.0,188418547.0,9480378.0,246469329.0,257190295.0,203605153.0
Mepco Schlenk Engineering College,4174,34,6.32,12704.610266159696,193671.34030418252,18694000.0,24013000.0,10754000.0,274580000.0,273539000.0,266850000.0
"Vels Institute of Science, Technology & Advanced Studies (VISTAS)",2408,19,5.06,59377.12978986403,123783.22332097239,24375450.0,63289895.0,56442949.0,98850228.0,97927655.0,103644000.0
Dayalbagh Educational Institute,1286,145,7.06,86210.57442348008,172591.0817610063,46275757.0,58732000.0,18359575.0,82424662.0,75090000.0,89463176.0
YMCA University of Science & Tech (Formerely YMCA Institute of Engineering),2286,32,12.6,41034.61518550474,363383.9749784297,55803003.0,27564969.0,11750266.0,316246178.0,303085177.0,222992699.0
Government College of Technology,3236,47,5.61,9850.769418215048,200729.43435881817,12790377.0,1363342.0,18186357.0,262886669.0,198729216.0,197378848.0
Jaypee University of Information Technology,2271,87,9.52,28063.092875318067,378498.23960983887,26711732.0,15466797.0,23994244.0,337750188.0,297366993.0,257381668.0
G. H. Raisoni College of Engineering,3972,0,7.29,50566.88670694864,224472.4141490433,46997995.0,70659391.0,83194288.0,310614151.0,266386481.0,314603797.0
PSG Institute of Technology and Applied Research,1200,0,7.83,30648.379166666666,201855.40416666667,11573824.0,10519306.0,14684925.0,96305954.0,77219001.0,68701530.0
Chaitanya Bharathi Institute of Technology,4492,0,9.06,26884.95191451469,360404.0552092609,9910916.0,63234723.0,47621565.0,512398075.0,574142419.0,532394522.0
SR University,3132,0,6.92,36689.52362707535,206773.2496807152,57934109.0,48218568.0,8758911.0,261736764.0,237526555.0,148350499.0
